bulk_id,facet,slab_id
cq7smr6lvj,011,bumihine_88
cq7smr6lvj,110,nuhaduwu_44
cq7smr6lvj,010,fimuvohi_89
cq7smr6lvj,100,sekivema_89
cq7smr6lvj,001,fevahaso_90
cq7smr6lvj,101,fasituve_52
cq7smr6lvj,314,pevihesu_24
cq7smr6lvj,111,kipewumu_75
vl6uvqne6d,011,digudowu_30
vl6uvqne6d,110,nitagama_68
vl6uvqne6d,010,tobafike_97
vl6uvqne6d,100,fudavuvu_03
vl6uvqne6d,001,tidigano_32
vl6uvqne6d,101,piwegipo_20
vl6uvqne6d,111,pukebeda_20
z36lb3bdcq,011,kosimuho_13
z36lb3bdcq,110,vukemifu_60
z36lb3bdcq,010,pufenawa_42
z36lb3bdcq,100,nabalowi_57
z36lb3bdcq,001,vuraruna_65
z36lb3bdcq,101,komulati_65
z36lb3bdcq,314,himikatu_09
z36lb3bdcq,111,ranuduke_38
xemg9wb27y,011,dehemeto_30
xemg9wb27y,110,rovanigo_43
xemg9wb27y,010,kiregate_96
xemg9wb27y,100,magiwuni_58
xemg9wb27y,214,miwokano_99
xemg9wb27y,001,wowukoli_59
xemg9wb27y,101,fitirapa_27
xemg9wb27y,314,sumokela_85
xemg9wb27y,111,safumado_27
vlxp9abd6h,011,gogakiwo_60
vlxp9abd6h,110,wewupeku_04
vlxp9abd6h,010,tigemata_38
vlxp9abd6h,100,dabukegu_83
vlxp9abd6h,214,wugasako_81
vlxp9abd6h,001,ditiputi_93
vlxp9abd6h,101,poserupe_66
vlxp9abd6h,111,velenobi_72
zunqxh6g9j,011,getagolo_91
zunqxh6g9j,110,refadise_40
zunqxh6g9j,010,mimarafa_88
zunqxh6g9j,100,mokapipu_61
zunqxh6g9j,001,sitilowi_31
zunqxh6g9j,101,rodogare_75
zunqxh6g9j,111,lumuwolu_88
8fxi6rmp75,011,diraripi_04
8fxi6rmp75,110,gudibofo_49
8fxi6rmp75,010,fabetipe_06
8fxi6rmp75,100,tedibomi_02
8fxi6rmp75,214,pagedoge_50
8fxi6rmp75,001,viloreba_58
8fxi6rmp75,101,garituna_73
8fxi6rmp75,314,titovodu_83
8fxi6rmp75,111,dikepola_87
71ndci8rx3,011,kiwiketo_94
71ndci8rx3,110,wobakafe_05
71ndci8rx3,010,nisiwuhu_70
71ndci8rx3,100,rutubife_42
71ndci8rx3,001,tigetage_04
71ndci8rx3,101,mivupabu_83
71ndci8rx3,111,batinawa_38
8u9wb5na7o,011,sudomeke_51
8u9wb5na7o,110,wekarupu_48
8u9wb5na7o,010,vagelefu_19
8u9wb5na7o,100,kihafidu_40
8u9wb5na7o,001,lenodelu_78
8u9wb5na7o,101,volubege_18
8u9wb5na7o,111,wopegiho_38
b19q9p6k72,011,fisetudu_55
b19q9p6k72,110,huhufido_13
b19q9p6k72,010,mahifake_44
b19q9p6k72,100,nifahoke_48
b19q9p6k72,001,felakugi_85
b19q9p6k72,101,solaleda_75
b19q9p6k72,314,sefesate_88
b19q9p6k72,111,hogohuge_61
b5cgvsb16w,011,vinodime_15
b5cgvsb16w,110,kegidafu_92
b5cgvsb16w,010,gowitepe_67
b5cgvsb16w,100,naronusu_67
b5cgvsb16w,214,womofuwe_18
b5cgvsb16w,001,wihuwone_95
b5cgvsb16w,101,lufinanu_76
b5cgvsb16w,314,felagemo_48
b5cgvsb16w,111,kalisule_45
vhnkve7ev1,011,salafiba_68
vhnkve7ev1,110,popeviwu_45
vhnkve7ev1,010,lapuwilu_95
vhnkve7ev1,100,nupepebo_99
vhnkve7ev1,214,ravoveme_17
vhnkve7ev1,001,mesufagi_19
vhnkve7ev1,101,pasulavo_31
vhnkve7ev1,111,luvabepu_47
7273c1naba,011,rudosavu_57
7273c1naba,110,giruveva_74
7273c1naba,010,sigopabu_89
7273c1naba,100,bokebeka_85
7273c1naba,214,midonuko_41
7273c1naba,001,gegipoma_85
7273c1naba,101,tevadofo_14
7273c1naba,314,hukodoti_69
7273c1naba,111,wutogage_42
8gnt9rnd92,011,gapepuka_01
8gnt9rnd92,110,ribabidu_29
8gnt9rnd92,010,gavibawi_45
8gnt9rnd92,100,suguwesi_98
8gnt9rnd92,214,rofopedo_37
8gnt9rnd92,001,rupakani_81
8gnt9rnd92,101,vekaweve_15
8gnt9rnd92,314,sevugego_35
8gnt9rnd92,111,robefedo_46
mwmg9p7s6o,011,gegikilu_23
mwmg9p7s6o,110,vilubudi_77
mwmg9p7s6o,010,powodupo_20
mwmg9p7s6o,100,resopati_98
mwmg9p7s6o,001,mofareno_14
mwmg9p7s6o,101,dapanunu_18
mwmg9p7s6o,314,nomekina_59
mwmg9p7s6o,111,ralutiwa_59
mtv3ca7585,011,tonufohu_87
mtv3ca7585,110,fafesama_13
mtv3ca7585,010,wipafero_80
mtv3ca7585,100,seduloni_65
mtv3ca7585,214,futedidu_33
mtv3ca7585,001,mokagaso_70
mtv3ca7585,101,likolaki_10
mtv3ca7585,314,wiwubiru_27
mtv3ca7585,111,hobuwibu_53
clc2b1mavs,011,rolanise_56
clc2b1mavs,110,befuladu_94
clc2b1mavs,010,hesegula_40
clc2b1mavs,100,sodinuva_68
clc2b1mavs,001,nubibuso_85
clc2b1mavs,101,pasagofe_22
clc2b1mavs,111,dumegivu_84
v2blxebixh,011,sabutoku_73
v2blxebixh,110,nevatale_03
v2blxebixh,010,sapikami_04
v2blxebixh,100,wefakuko_75
v2blxebixh,001,vovumota_03
v2blxebixh,101,vinamepa_43
v2blxebixh,111,negasofi_55
xtbocq9o6p,011,hitowada_26
xtbocq9o6p,110,baganinu_94
xtbocq9o6p,010,neromuwe_23
xtbocq9o6p,100,witepote_55
xtbocq9o6p,214,nololahu_95
xtbocq9o6p,001,kababolo_86
xtbocq9o6p,101,ruhisife_10
xtbocq9o6p,111,dokikafa_62
vgzkzqx5cf,011,vihabape_91
vgzkzqx5cf,110,nerinaro_03
vgzkzqx5cf,010,fohimepa_47
vgzkzqx5cf,100,faronese_07
vgzkzqx5cf,001,demidefu_86
vgzkzqx5cf,101,matutani_65
vgzkzqx5cf,314,tutesoli_49
vgzkzqx5cf,111,wimatewe_45
82mwbwbgbl,011,benudoko_63
82mwbwbgbl,110,hanetita_87
82mwbwbgbl,010,babadubo_10
82mwbwbgbl,100,bomidoru_42
82mwbwbgbl,001,hewutapa_96
82mwbwbgbl,101,nirulave_08
82mwbwbgbl,314,lemarasi_08
82mwbwbgbl,111,runododu_73
n36axdbw65,011,gorinogo_62
n36axdbw65,110,femidomi_04
n36axdbw65,010,gedisuso_77
n36axdbw65,100,bunuvufu_93
n36axdbw65,001,tidadiva_44
n36axdbw65,101,panokuri_01
n36axdbw65,111,lepetipe_22
8wxibl7lm4,011,sulinolo_99
8wxibl7lm4,110,veguliha_44
8wxibl7lm4,010,rudagufe_72
8wxibl7lm4,100,davokuwu_00
8wxibl7lm4,001,hahebufo_58
8wxibl7lm4,101,rutupefe_54
8wxibl7lm4,111,bomidobe_75
xu6ivyvfvf,011,nekinawe_83
xu6ivyvfvf,110,sobewugo_91
xu6ivyvfvf,010,homopela_89
xu6ivyvfvf,100,daturira_73
xu6ivyvfvf,214,fimigafo_35
xu6ivyvfvf,001,rimuveli_39
xu6ivyvfvf,101,pepihisi_45
xu6ivyvfvf,314,mobahava_56
xu6ivyvfvf,111,duwotuwi_11
v1xpx482ba,011,ninemoba_57
v1xpx482ba,110,pusulevu_46
v1xpx482ba,010,miforike_08
v1xpx482ba,100,potehedu_67
v1xpx482ba,001,mutohoti_00
v1xpx482ba,101,miwaluge_15
v1xpx482ba,111,risusike_06
7h7yns937p,011,toguboro_05
7h7yns937p,110,vawobafe_63
7h7yns937p,010,powikade_15
7h7yns937p,100,punakihe_65
7h7yns937p,214,damalehu_90
7h7yns937p,001,gesipake_09
7h7yns937p,101,vuvunira_55
7h7yns937p,111,lukutepi_33
vtc49sbtxg,011,honorupo_58
vtc49sbtxg,110,gewosena_88
vtc49sbtxg,010,powovelu_71
vtc49sbtxg,100,punuwifo_51
vtc49sbtxg,001,damiluli_47
vtc49sbtxg,101,wewasino_36
vtc49sbtxg,314,bemitoma_89
vtc49sbtxg,111,womigega_02
9izlbdmh7d,011,vonopisi_00
9izlbdmh7d,110,kepeholu_14
9izlbdmh7d,010,kikowusu_27
9izlbdmh7d,100,wapagopu_30
9izlbdmh7d,214,sasisihi_92
9izlbdmh7d,001,boranibu_86
9izlbdmh7d,101,ladenila_23
9izlbdmh7d,314,likatode_97
9izlbdmh7d,111,riwadesa_18
zwzkbkcf8a,011,walipako_50
zwzkbkcf8a,110,koheheno_62
zwzkbkcf8a,010,wiwivofu_69
zwzkbkcf8a,100,vitenuvi_39
zwzkbkcf8a,214,nomidevu_78
zwzkbkcf8a,001,soburebo_13
zwzkbkcf8a,101,bolafone_84
zwzkbkcf8a,314,rilawiwa_45
zwzkbkcf8a,111,wepawedi_88
mjctxrx3zf,011,pegapali_49
mjctxrx3zf,110,niliriwe_53
mjctxrx3zf,010,kofefehu_83
mjctxrx3zf,100,vevaguva_03
mjctxrx3zf,214,sisufuwa_20
mjctxrx3zf,001,nutekewo_24
mjctxrx3zf,101,posofibu_07
mjctxrx3zf,314,titawupu_08
mjctxrx3zf,111,lefigesi_53
zw9pbrnabj,011,dilapidi_68
zw9pbrnabj,110,wobenepa_26
zw9pbrnabj,010,nakerafi_91
zw9pbrnabj,100,bivalifi_43
zw9pbrnabj,214,dorodovi_48
zw9pbrnabj,001,pobemabe_41
zw9pbrnabj,101,sofinebi_06
zw9pbrnabj,314,kufukowi_24
zw9pbrnabj,111,banapipe_54
m2bs8w82x5,011,tagilahu_40
m2bs8w82x5,110,hufudoga_52
m2bs8w82x5,010,tefenipa_47
m2bs8w82x5,100,soregawu_05
m2bs8w82x5,001,bivahobe_50
m2bs8w82x5,101,demavovu_00
m2bs8w82x5,111,mututesi_43
z5ms8a629a,011,hesebosi_74
z5ms8a629a,110,lilufahe_06
z5ms8a629a,010,telomivi_05
z5ms8a629a,100,fegipehu_26
z5ms8a629a,001,tododena_41
z5ms8a629a,101,nuleguvo_31
z5ms8a629a,111,nahimeti_00
xw9y6rbkxr,011,fepugegi_69
xw9y6rbkxr,110,fufonike_60
xw9y6rbkxr,010,gobutofe_96
xw9y6rbkxr,100,nidabufe_83
xw9y6rbkxr,214,laveweme_17
xw9y6rbkxr,001,suvutune_16
xw9y6rbkxr,101,maditose_76
949rnem5z2,011,rerareda_56
949rnem5z2,110,waloguhe_35
949rnem5z2,010,tinugono_42
949rnem5z2,100,tovarebo_63
949rnem5z2,214,tenurogi_22
949rnem5z2,001,hihitagi_54
949rnem5z2,101,robelike_71
949rnem5z2,314,honigiho_96
949rnem5z2,111,sokuruta_99
73nhvjxyxf,011,gakahuni_71
73nhvjxyxf,110,hibevewi_36
73nhvjxyxf,010,pehadife_62
73nhvjxyxf,100,diwarise_06
73nhvjxyxf,214,hohowiro_27
73nhvjxyxf,001,roredega_17
73nhvjxyxf,101,nanewuli_55
73nhvjxyxf,314,tawiguki_37
73nhvjxyxf,111,momaposi_60
6pmrzrv36f,011,tenefane_67
6pmrzrv36f,110,mebusovi_43
6pmrzrv36f,010,wefiwowi_30
6pmrzrv36f,100,wohofusi_68
6pmrzrv36f,001,gulohahe_77
6pmrzrv36f,101,fonutopo_96
6pmrzrv36f,111,fedavego_65
zimuby8uzj,011,totuvuwi_77
zimuby8uzj,110,wawaweni_90
zimuby8uzj,010,bekufufi_53
zimuby8uzj,100,wakidowo_59
zimuby8uzj,001,hofarame_76
zimuby8uzj,101,lehesona_48
zimuby8uzj,111,nelebiho_60
zimixdvdxd,011,gusasaru_88
zimixdvdxd,110,gotafeka_39
zimixdvdxd,010,hosetebu_75
zimixdvdxd,100,vepufiga_56
zimixdvdxd,214,fakaturo_52
zimixdvdxd,001,rugedebu_48
zimixdvdxd,101,goburido_00
zimixdvdxd,314,nabebiwe_99
zimixdvdxd,111,fugorumi_32
v59s9lxdxr,011,fogefebo_25
v59s9lxdxr,110,kigapuwe_39
v59s9lxdxr,010,kamudosa_76
v59s9lxdxr,100,dakohohu_74
v59s9lxdxr,214,fidadovi_59
v59s9lxdxr,001,sarilohe_63
v59s9lxdxr,101,kamufuhu_94
v59s9lxdxr,314,himipatu_18
v59s9lxdxr,111,nalaholi_61
nu7hbg6rnt,011,vovikuke_14
nu7hbg6rnt,110,denikiha_00
nu7hbg6rnt,010,sapivike_61
nu7hbg6rnt,100,tulubove_66
nu7hbg6rnt,214,bilafifo_78
