crystal,facet,coverage,termination,active_site,name,active_site__o,active_site__oh,active_site__ooh
amm2,012,OH_covered,0,0,amm2_012_OH_covered_0_0,50,48,48
amm2,100,O_covered,0,0,amm2_100_O_covered_0_0,32,32,32
amm2,110,O_covered,0,0,amm2_110_O_covered_0_0,48,48,48
amm2,110,O_covered,0,1,amm2_110_O_covered_0_1,37,37,37
amm2,110,O_covered,0,2,amm2_110_O_covered_0_2,49,49,49
amm2,111,O_covered,0,0,amm2_111_O_covered_0_0,49,49,49
amm2,111,O_covered,0,1,amm2_111_O_covered_0_1,48,48,48
anatase,012,O_covered,0,0,anatase_012_O_covered_0_0,35,35,35
anatase,012,O_covered,0,1,anatase_012_O_covered_0_1,36,36,36
anatase,012,O_covered,0,2,anatase_012_O_covered_0_2,38,38,38
anatase,100,O_covered,0,0,anatase_100_O_covered_0_0,24,24,24
anatase,100,O_covered,0,1,anatase_100_O_covered_0_1,25,25,25
anatase,110,O_covered,0,0,anatase_110_O_covered_0_0,48,48,48
anatase,110,O_covered,0,1,anatase_110_O_covered_0_1,49,49,49
anatase,110,O_covered,0,2,anatase_110_O_covered_0_2,50,50,50
anatase,110,O_covered,0,3,anatase_110_O_covered_0_3,51,51,51
anatase,111,O_covered,0,0,anatase_111_O_covered_0_0,35,35,35
anatase,111,O_covered,0,1,anatase_111_O_covered_0_1,48,48,48
anatase,111,O_covered,0,2,anatase_111_O_covered_0_2,49,49,49
anatase,111,O_covered,0,3,anatase_111_O_covered_0_3,51,51,51
anatase,120,O_covered,0,0,anatase_120_O_covered_0_0,72,72,72
anatase,120,O_covered,0,1,anatase_120_O_covered_0_1,73,73,73
anatase,120,O_covered,0,2,anatase_120_O_covered_0_2,74,74,74
anatase,120,O_covered,0,3,anatase_120_O_covered_0_3,75,75,75
anatase,120,O_covered,0,4,anatase_120_O_covered_0_4,76,76,76
anatase,120,O_covered,0,5,anatase_120_O_covered_0_5,77,77,77
anatase,121,O_covered,0,0,anatase_121_O_covered_0_0,53,53,53
